Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_First Name""), STOP_ON_FAILURE)",Chrome 113.0.0.0,"Blank First Name
",,2023-05-17 23:55:16,2023-05-17 23:55:17,0.405s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Last Name""), STOP_ON_FAILURE)",Chrome 113.0.0.0,Blank Last Name,,2023-05-17 23:55:17,2023-05-17 23:55:17,0.515s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Province""))",Chrome 113.0.0.0,Blank Province,,2023-05-17 23:55:17,2023-05-17 23:55:18,0.557s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Town  CityTown  City""))",Chrome 113.0.0.0,Blank Town / City,,2023-05-17 23:55:18,2023-05-17 23:55:18,0.494s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_DistrictDistrict""))",Chrome 113.0.0.0,Blank District,,2023-05-17 23:55:18,2023-05-17 23:55:19,0.398s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Sub-DistrictSub-District""))",Chrome 113.0.0.0,Blank Sub_District,,2023-05-17 23:55:19,2023-05-17 23:55:19,0.394s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Street address""))",Chrome 113.0.0.0,Blank Street Address,,2023-05-17 23:55:19,2023-05-17 23:55:20,0.505s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Phone62""))",Chrome 113.0.0.0,Blnak Phone,,2023-05-17 23:55:20,2023-05-17 23:55:20,0.568s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_DetailShipping""))",Chrome 113.0.0.0,,,2023-05-17 23:55:20,2023-05-17 23:55:21,0.537s,PASSED
"doubleClick(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Continue to Shipping""))",Chrome 113.0.0.0,,,2023-05-17 23:55:21,2023-05-17 23:55:21,0.655s,PASSED
"verifyElementText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_First name cant be blank""), ""First name can't be blank"")",Chrome 113.0.0.0,Assert Blank First Name,,2023-05-17 23:55:21,2023-05-17 23:55:22,0.488s,PASSED
"verifyElementText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Last name cant be blank""), ""Last name can't be blank"")",Chrome 113.0.0.0,Assert Blank Last Name,,2023-05-17 23:55:22,2023-05-17 23:55:22,0.352s,PASSED
"verifyElementText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Street address cant be blank""), ""Street address can't be blank"")",Chrome 113.0.0.0,Assert Blank Street Address,,2023-05-17 23:55:22,2023-05-17 23:55:23,0.382s,PASSED
"verifyElementText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Phone cant be blank""), ""Phone can't be blank"")",Chrome 113.0.0.0,Assert Blank Phone Number,,2023-05-17 23:55:23,2023-05-17 23:55:23,0.394s,PASSED
delay(2),Chrome 113.0.0.0,,,2023-05-17 23:55:23,2023-05-17 23:55:25,2.028s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Sub-District""), ""Sub-District*"")",Chrome 113.0.0.0,,,2023-05-17 23:55:25,2023-05-17 23:55:25,0.344s,PASSED
"setText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/input__FirstName""), ""Ibnu"")",Chrome 113.0.0.0,Insert the First Name,,2023-05-17 23:55:25,2023-05-17 23:55:26,0.764s,PASSED
"setText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/Input_LastName""), ""Aviandi"")",Chrome 113.0.0.0,Insert the Last Name,,2023-05-17 23:55:26,2023-05-17 23:55:28,1.755s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Province""), ""Province*"")",Chrome 113.0.0.0,Assert the Province,,2023-05-17 23:55:28,2023-05-17 23:55:29,1.422s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Province (2)""))",Chrome 113.0.0.0,,,2023-05-17 23:55:29,2023-05-17 23:55:30,0.365s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Jawa Barat""))",Chrome 113.0.0.0,Choose Province: Jawa Barat ,,2023-05-17 23:55:30,2023-05-17 23:55:30,0.517s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Jawa Barat - Copy""))",Chrome 113.0.0.0,,,2023-05-17 23:55:30,2023-05-17 23:55:31,0.520s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Depok""))",Chrome 113.0.0.0,"Choose Town / City: Depok
",,2023-05-17 23:55:31,2023-05-17 23:55:32,0.912s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Depok""))",Chrome 113.0.0.0,,,2023-05-17 23:55:32,2023-05-17 23:55:32,0.514s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Town  City""), ""Town / City*"")",Chrome 113.0.0.0,Assert Town,,2023-05-17 23:55:32,2023-05-17 23:55:33,0.663s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_District""), ""District*"")",Chrome 113.0.0.0,Assert District,,2023-05-17 23:55:33,2023-05-17 23:55:33,0.372s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Cimanggis""))",Chrome 113.0.0.0,,,2023-05-17 23:55:33,2023-05-17 23:55:34,0.389s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Cimanggis""))",Chrome 113.0.0.0,Choose District: Cimanggis,,2023-05-17 23:55:34,2023-05-17 23:55:34,0.528s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Sub-District""), ""Sub-District*"")",Chrome 113.0.0.0,,,2023-05-17 23:55:34,2023-05-17 23:55:35,0.799s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Cisalak Pasar""))",Chrome 113.0.0.0,,,2023-05-17 23:55:35,2023-05-17 23:55:35,0.397s,PASSED
"click(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Cisalak Pasar""))",Chrome 113.0.0.0,Choose Sub_District: Cisalak Pasar,,2023-05-17 23:55:35,2023-05-17 23:55:36,0.518s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-17 23:55:36,2023-05-17 23:55:39,3.008s,PASSED
"setText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/input__StreetAddress""), ""Permata Puri 1 Block C.10 No. 6"")",Chrome 113.0.0.0,Insert the street address,,2023-05-17 23:55:39,2023-05-17 23:55:40,0.879s,PASSED
"setText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/input_PhoneNumber""), ""081211810900"")",Chrome 113.0.0.0,Incorrect arrangement of phone,,2023-05-17 23:55:40,2023-05-17 23:55:46,6.133s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Continue to Shipping""))",Chrome 113.0.0.0,,,2023-05-17 23:55:46,2023-05-17 23:55:48,2.333s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Continue to Shipping""))",Chrome 113.0.0.0,,,2023-05-17 23:55:48,2023-05-17 23:55:49,0.375s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Please enter a valid Indonesian mobile_a6e728""), ""Please enter a valid Indonesian mobile phone number starting with 8xx"")",Chrome 113.0.0.0,,,2023-05-17 23:55:49,2023-05-17 23:55:49,0.345s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_CartAddressShippingPaymentShipping Addr_913a75_1_2""))",Chrome 113.0.0.0,,,2023-05-17 23:55:49,2023-05-17 23:55:49,0.381s,PASSED
"setText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/input__Phone""), ""+6281211810900"")",Chrome 113.0.0.0,Incorrect arrangement of Phone ,,2023-05-17 23:55:49,2023-05-17 23:55:50,1.077s,PASSED
"sendKeys(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/input__Phone""), Keys.chord(ENTER))",Chrome 113.0.0.0,,,2023-05-17 23:55:50,2023-05-17 23:55:53,2.572s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Please enter a valid Indonesian mobile_a6e728""), ""Please enter a valid Indonesian mobile phone number starting with 8xx"")",Chrome 113.0.0.0,,,2023-05-17 23:55:53,2023-05-17 23:55:53,0.350s,PASSED
"setText(findTestObject(""TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/input__Phone""), ""81211810900"")",Chrome 113.0.0.0,Correct arrangement of Phone,,2023-05-17 23:55:53,2023-05-17 23:55:54,0.764s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Continue to Shipping""))",Chrome 113.0.0.0,,,2023-05-17 23:55:54,2023-05-17 23:55:56,2.022s,PASSED
delay(1),Chrome 113.0.0.0,,,2023-05-17 23:55:56,2023-05-17 23:55:57,1.016s,PASSED
Url_Shipping = getUrl(),Chrome 113.0.0.0,,,2023-05-17 23:55:57,2023-05-17 23:55:57,0.027s,PASSED
"verifyMatch(Url_Shipping, ""https://staging-belleandkate.netlify.app/checkout/shipment"", false)",Chrome 113.0.0.0,Assert the URL,,2023-05-17 23:55:57,2023-05-17 23:55:57,0.004s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-17 23:55:57,2023-05-17 23:56:00,3.021s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-17 23:56:00,2023-05-17 23:56:01,0.685s,PASSED
